stid,name,latitude,longitude,prid,value_type,mean_val,amplitude,ramp,total_variation,excess_tv,winter_floor,summer_ceiling,spring_30d_gain,spring_rise_days,autumn_30d_drop,autumn_fall_days,spring_ramp,spring_30d_gain_rel,autumn_ramp,autumn_30d_drop_rel,trough_day,peak_day,winter_floor_eff,autumn_rate,spring_rate,autumn_rate_abs,spring_rate_abs,eff_trough_day,livable
s47646,つくば（館野）,36.056667,140.125,40,sunshine_normal,5.519,0.4655,0.0344,12.547,6.507,6.545,4.962,2.14,21.0,2.287,103.0,0.1,0.7086,0.1267,0.7572,174,31,11.907,0.1482,0.248,1.186,1.984,332,1
s47648,銚子,35.738333,140.856667,45,sunshine_normal,5.528,0.4901,0.038,13.88,7.307,5.716,5.721,2.8,18.0,2.187,24.0,0.1267,0.8519,0.1267,0.6653,174,217,10.481,0.1741,0.1989,2.005,2.29,331,1
s47649,上野,34.761667,136.141667,53,sunshine_normal,4.926,0.4582,0.0296,10.787,5.373,4.139,5.061,2.393,14.0,2.293,31.0,0.1067,0.8842,0.1133,0.8473,176,219,7.77,0.211,0.3684,2.157,3.765,10,1
s47651,津,34.733333,136.518333,53,sunshine_normal,5.785,0.4188,0.0298,10.867,4.693,5.37,5.832,2.76,13.0,2.247,34.0,0.1267,0.8942,0.1133,0.7279,175,218,10.093,0.1836,0.3349,1.958,3.572,353,1
s47653,伊良湖,34.628333,137.093333,51,sunshine_normal,6.098,0.4043,0.031,11.307,4.933,5.89,6.263,2.74,16.0,2.167,25.0,0.1133,0.8598,0.1133,0.6799,173,218,11.121,0.1531,0.2812,1.754,3.222,345,1
s47654,浜松,34.753333,137.711667,50,sunshine_normal,6.135,0.346,0.0319,11.627,6.48,6.691,5.693,2.193,16.0,2.433,24.0,0.0867,0.8523,0.1333,0.9456,173,217,12.573,0.1367,0.2971,1.203,2.614,328,1
s47655,御前崎,34.603333,138.213333,50,sunshine_normal,6.228,0.4459,0.0345,12.6,5.747,6.614,6.065,2.84,16.0,2.42,25.0,0.1133,0.8288,0.1267,0.7062,172,220,12.48,0.1741,0.2613,1.855,2.784,331,1
s47656,静岡,34.975,138.403333,50,sunshine_normal,5.892,0.4193,0.0312,11.4,5.733,6.722,5.199,1.84,22.0,2.213,103.0,0.08,0.6494,0.12,0.7812,172,34,12.563,0.1322,0.3444,0.981,2.556,333,1
s47657,三島,35.113333,138.925,50,sunshine_normal,5.49,0.3779,0.0311,11.347,6.36,6.031,4.886,2.013,18.0,2.36,107.0,0.0867,0.8075,0.12,0.9465,175,32,11.231,0.1663,0.2986,1.261,2.265,338,1
s47662,東京,35.691667,139.75,44,sunshine_normal,5.276,0.4569,0.0331,12.093,6.707,6.11,4.819,1.947,22.0,2.287,101.0,0.08,0.7228,0.12,0.849,172,32,11.22,0.1386,0.2505,1.091,1.973,334,1
