stid,name,lat,n_days,winter_mean_h,interannual_cv_pct,dark2_pct,spell_cvar80_t1,spell_cvar80_t2,spell_cvar80_t3,spell_cvar80_1991_2005,spell_cvar80_2006_2020
s47433,倶知安,42.9,10945,2.235,13.44,61.97,12.83,21.67,25.00,21.33,21.00
s47435,紋別,44.345,10949,3.785,6.01,33.72,8.17,8.50,10.67,9.00,8.00
s47440,広尾,42.293333,10945,5.388,6.68,22.94,5.17,5.67,6.33,4.67,6.00
s47512,大船渡,39.063333,10933,4.660,6.87,23.34,4.33,4.67,5.50,4.33,5.00
s47520,新庄,38.756667,10901,2.045,10.40,63.33,11.67,23.00,30.83,18.00,25.00
s47570,若松,37.488333,10955,3.156,7.76,44.69,6.50,9.67,14.17,10.67,7.33
s47574,深浦,40.645,10911,1.804,14.41,69.90,16.83,29.50,39.67,25.33,32.67
s47575,青森,40.821667,10954,2.532,10.66,55.80,10.83,14.83,24.50,15.00,14.33
s47576,むつ,41.283333,10934,3.087,7.79,42.93,7.17,10.83,13.67,8.00,11.33
s47581,八戸,40.526667,10953,4.480,6.26,23.12,3.83,5.17,6.67,5.33,5.00
s47582,秋田,39.716667,10951,2.338,13.88,61.70,12.83,24.67,30.50,24.33,24.33
s47584,盛岡,39.698333,10954,4.100,6.79,31.31,5.33,5.83,6.50,5.67,6.00
s47585,宮古,39.646667,10919,5.189,6.03,20.49,4.50,5.00,5.83,5.33,4.33
s47587,酒田,38.908333,10925,2.235,10.60,62.74,11.00,19.67,37.17,19.33,20.00
s47588,山形,38.255,10952,3.280,7.66,42.13,6.50,10.33,12.67,12.00,8.00
s47590,仙台,38.261667,10952,5.044,6.17,21.60,4.17,4.50,5.17,4.67,4.33
s47592,石巻,38.426667,10946,5.359,5.76,20.65,4.00,4.33,5.17,4.00,4.67
s47595,福島,37.758333,10952,4.626,6.01,26.16,4.33,5.33,6.17,5.33,5.33
s47597,白河,37.131667,10909,5.166,5.46,21.84,4.17,4.83,5.50,5.00,4.67
s47598,小名浜,36.946667,10950,5.996,6.51,21.26,4.17,4.50,5.33,4.33,4.67
