rank,stid,name,latitude,longitude,prid,overall_score,stability_score,transition_score,mean_val,amplitude,ramp,winter_floor,spring_30d_gain,autumn_30d_drop,spring_rise_days,autumn_fall_days
90,s47807,福岡,33.581667,130.375,82,0.534,1.189,-0.656,5.175,0.6341,0.0418,3.627,3.333,1.52,61.0,93.0
91,s47411,小樽,43.181667,141.015,16,0.538,1.609,-1.072,4.345,1.0292,0.0298,2.099,1.927,2.02,40.0,125.0
92,s47672,館山,34.986667,139.865,45,0.711,-1.302,2.013,5.46,0.5143,0.0364,5.6,2.66,2.173,19.0,22.0
93,s47759,京都,35.013333,135.731667,61,0.978,-1.536,2.513,4.916,0.4405,0.0304,4.089,2.433,2.38,12.0,14.0
94,s47648,銚子,35.738333,140.856667,45,0.981,-1.207,2.188,5.528,0.4901,0.038,5.716,2.8,2.187,18.0,24.0
95,s47570,若松,37.488333,139.91,36,1.06,2.724,-1.664,4.472,1.0032,0.0395,2.596,1.287,2.393,64.0,149.0
96,s47909,名瀬,28.385,129.493333,88,1.131,2.521,-1.39,3.649,1.2124,0.0311,1.954,3.08,1.487,98.0,73.0
97,s47838,牛深,32.196667,130.026667,86,1.304,2.174,-0.87,5.347,0.7766,0.0451,3.645,4.513,1.52,152.0,82.0
98,s47674,勝浦,35.15,140.311667,45,1.373,-1.224,2.597,5.339,0.5177,0.0365,5.518,2.933,2.267,15.0,23.0
99,s47819,熊本,32.813333,130.706667,86,1.467,-0.932,2.399,5.473,0.4797,0.0352,4.53,3.467,2.58,12.0,130.0
100,s47895,徳島,34.066667,134.573333,71,1.558,-1.551,3.109,5.774,0.4508,0.0347,5.233,3.233,2.327,12.0,24.0
101,s47918,石垣島,24.336667,124.163333,91,1.693,2.384,-0.69,5.056,1.1623,0.0348,2.821,3.18,1.567,73.0,77.0
102,s47824,人吉,32.216667,130.755,86,1.781,-0.698,2.479,4.962,0.5084,0.0345,4.139,3.187,2.487,12.0,89.0
103,s47765,広島,34.398333,132.461667,67,1.784,-0.988,2.772,5.573,0.4627,0.0354,4.578,3.067,2.687,12.0,93.0
104,s47827,鹿児島,31.555,130.546667,88,2.086,-0.438,2.524,5.35,0.5647,0.0366,4.549,3.773,2.44,13.0,120.0
105,s47945,南大東（南大東島）,25.828333,131.228333,91,2.098,1.564,0.535,5.82,0.8932,0.0399,3.947,4.24,1.8,87.0,93.0
106,s47575,青森,40.821667,140.768333,31,2.153,3.033,-0.88,4.351,1.1486,0.0347,1.693,1.96,2.213,44.0,141.0
107,s47766,呉,34.24,132.55,67,2.342,-0.694,3.036,5.673,0.4809,0.0373,4.68,3.32,2.633,12.0,85.0
108,s47750,舞鶴,35.45,135.316667,61,2.362,2.503,-0.141,4.253,0.9217,0.0393,2.461,2.9,1.78,52.0,80.0
109,s47762,下関,33.948333,130.925,81,2.426,2.251,0.175,5.139,0.7387,0.0451,3.321,3.653,1.733,62.0,94.0
110,s47631,敦賀,35.653333,136.061667,57,2.677,3.266,-0.589,4.382,1.0021,0.0413,2.177,3.06,1.62,60.0,86.0
111,s47813,佐賀,33.265,130.305,85,2.685,-0.538,3.222,5.399,0.4825,0.0371,4.391,3.54,2.9,12.0,132.0
112,s47433,倶知安,42.9,140.756667,16,2.695,2.955,-0.26,3.954,1.2366,0.0317,1.544,2.22,2.233,38.0,129.0
113,a1441,野母崎,32.578333,129.74,84,2.817,2.869,-0.052,5.685,0.8265,0.0485,3.652,4.8,1.807,155.0,91.0
114,s47612,高田,37.106667,138.246667,54,2.837,3.376,-0.539,4.364,1.0208,0.0419,2.251,1.673,2.68,48.0,168.0
115,s47582,秋田,39.716667,140.098333,32,2.876,4.168,-1.292,4.183,1.194,0.0399,1.425,1.933,2.127,47.0,149.0
116,s47677,三宅島,34.123333,139.52,44,2.948,1.071,1.877,4.674,0.809,0.0379,3.783,2.713,2.887,124.0,22.0
117,s47929,久米島,26.336667,126.803333,91,2.979,2.749,0.229,4.708,1.1912,0.0355,2.569,3.62,1.773,90.0,60.0
118,s47607,富山,36.708333,137.201667,55,3.063,3.345,-0.281,4.492,1.0044,0.0425,2.361,2.867,1.787,57.0,82.0
119,s47616,福井,36.055,136.221667,57,3.086,3.23,-0.145,4.531,0.9661,0.0423,2.289,3.113,1.78,60.0,86.0
120,s47744,米子,35.433333,133.338333,69,3.134,3.215,-0.081,4.758,0.9456,0.0435,2.501,2.92,1.833,52.0,86.0
121,s47746,鳥取,35.486667,134.238333,69,3.176,3.214,-0.037,4.577,0.9628,0.0428,2.421,2.9,1.84,51.0,84.0
122,s47917,西表島,24.426667,123.765,91,3.205,3.216,-0.011,4.72,1.2893,0.0357,2.402,2.893,2.02,77.0,79.0
123,s47814,日田,33.321667,130.928333,83,3.214,0.18,3.034,4.943,0.5621,0.0378,3.852,3.247,2.713,11.0,94.0
124,s47520,新庄,38.756667,140.311667,35,3.287,4.467,-1.179,3.641,1.2874,0.0394,1.326,1.707,2.307,52.0,148.0
125,s47741,松江,35.456667,133.065,68,3.428,3.455,-0.027,4.676,0.9758,0.044,2.405,2.86,1.887,51.0,88.0
126,s47740,西郷,36.203333,133.333333,68,3.44,3.566,-0.126,4.715,0.9879,0.0447,2.467,1.873,2.66,42.0,159.0
127,s47606,伏木,36.791667,137.055,55,3.509,3.806,-0.297,4.536,1.0667,0.0433,2.161,2.76,1.82,55.0,83.0
128,s47747,豊岡,35.535,134.821667,63,3.511,2.962,0.549,4.079,0.992,0.0398,2.233,2.8,2.053,46.0,78.0
129,s47843,福江,32.693333,128.826667,84,3.526,2.75,0.776,4.797,0.7788,0.046,2.966,4.04,1.807,62.0,94.0
130,s47800,厳原,34.196667,129.291667,84,3.565,-0.805,4.37,5.107,0.4953,0.0374,4.958,2.807,3.013,14.0,17.0
131,s47942,沖永良部,27.431667,128.705,88,3.585,3.063,0.522,5.084,1.179,0.0386,2.775,4.12,1.707,91.0,65.0
132,s47836,屋久島,30.385,130.658333,88,3.722,3.198,0.524,4.155,1.0946,0.0404,2.556,4.013,2.007,125.0,64.0
133,s47784,山口,34.161667,131.461667,81,3.787,0.488,3.299,5.102,0.5901,0.0392,3.86,3.22,2.873,12.0,99.0
